Name,Attributes,n,n1,n2
Wikipedia edits (cdo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",26047,788,25259
Wikivoyage edits (pl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",7735,935,6800
Wikibooks edits (zh),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",14125,2372,11753
Wikiquote edits (nl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",19504,1243,18261
Wikipedia edits (pfl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",6754,1511,5243
Wikipedia edits (av),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",9589,946,8643
Wikinews edits (el),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",10982,295,10687
Wiktionary edits (sm),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",8552,190,8362
Wikipedia edits (kab),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",11662,878,10784
Astrophysics,"['Coauthorship network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Is the join of an underlying network', 'Does not have multiple edges but the underlying data has']",16046,,
Wikipedia links (vls),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",9941,,
Wikinews edits (ar),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",25516,1354,24162
Wikibooks edits (ar),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",32565,1329,31236
Wikipedia edits (rw),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",5815,777,5038
Wiktionary edits (bs),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",10882,299,10583
Wikipedia edits (pap),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",5341,914,4427
JUNG/Javax,"['Software network', 'Unipartite directed', 'Unweighted multiple edges']",6120,,
UC Irvine messages,"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1899,,
Wikipedia talk (eu),"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",40993,,
Wikibooks edits (fa),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",16002,1394,14608
Condensed matter (2003),"['Coauthorship network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Is the join of an underlying network', 'Does not have multiple edges but the underlying data has']",30460,,
Wikipedia edits (cu),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",5516,1054,4462
Wikipedia edits (kl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4880,990,3890
Wikipedia links (bat-smg),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",21900,,
Wikipedia talk (gl),"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",8097,,
Wikiquote edits (uk),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",17478,779,16699
Wiktionary edits (co),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",11470,261,11209
Wikiquote edits (th),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",25654,570,25084
Wikipedia links (nds-nl),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",10453,,
Wikivoyage edits (sv),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",11151,748,10403
Wikipedia edits (haw),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4784,844,3940
Wikiquote edits (cs),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",12878,1133,11745
Wikiquote edits (bg),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",11633,851,10782
Wikipedia edits (lez),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",10197,639,9558
Wiktionary edits (sq),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",42932,368,42564
Java Development Kit,"['Software network', 'Unipartite directed', 'Unweighted multiple edges']",6434,,
Wikipedia links (myv),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",6293,,
Wiktionary edits (ps),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",28802,228,28574
Wikipedia links (gv),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",6862,,
Wiktionary edits (lb),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",11811,278,11533
Wiktionary edits (tt),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",9149,237,8912
Wikipedia edits (na),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4904,844,4060
Wikiquote edits (hy),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",8674,380,8294
Wikipedia links (tk),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges']",6138,,
Wikiquote edits (sk),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",8005,580,7425
Wikiversity edits (cs),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",11266,852,10414
FOLDOC,"['Hyperlink network', 'Unipartite directed', 'Unweighted multiple edges']",13356,,
Wikiquote edits (gu),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",16580,385,16195
Wikipedia edits (xal),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",10532,770,9762
Reactome,"['Metabolic network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Contains loops']",6327,,
Wikipedia edits (sd),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",25887,951,24936
Wikipedia edits (lrc),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",8945,209,8736
Chess,"['Interaction network', 'Unipartite directed', 'Signed possibly weighted multiple edges', 'Edges are annotated with timestamps', 'Inverted edges can be interpreted as negated edges', 'Edges may have weight zero', 'Is a snapshot and likely to not contain all data']",7301,,
Wikipedia edits (tpi),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",7452,1966,5486
Wikiquote edits (ja),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",21208,1143,20065
Wikipedia edits (ay),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",8649,1231,7418
Wikiquote edits (la),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",24998,998,24000
Wikiquote edits (fa),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",31993,864,31129
Wiktionary edits (nn),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",13925,266,13659
Wikivoyage edits (zh),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",11867,1326,10541
Wikibooks edits (ja),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",21611,2163,19448
Wikipedia links (csb),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges']",5561,,
Wikiquote edits (kn),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",28603,2534,26069
Wikipedia talk (lv),"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",41424,,
CiaoDVD movie ratings,"['Rating network', 'Bipartite undirected', 'Ratings multiple edges', 'Edges are annotated with timestamps', 'Is a snapshot and likely to not contain all data']",33736,17615,16121
Wikipedia links (crh),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",8286,,
Wiktionary edits (lv),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",14166,330,13836
Wiktionary edits (ka),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",11715,338,11377
Wikipedia links (wa),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",29021,,
Wikiversity edits (pt),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",17579,3292,14287
Gnutella (31),"['Computer network', 'Unipartite directed', 'Unweighted no multiple edges', 'Does not contain reciprocal edges']",62586,,
Wikipedia links (co),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges']",8252,,
Wikipedia links (gan),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",9189,,
Manufacturing emails,"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",167,,
Wikipedia links (nah),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",10285,,
Wikipedia links (rue),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",7621,,
Wikipedia edits (arc),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",6846,966,5880
Wiktionary edits (tg),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",33968,256,33712
Wikiquote edits (hu),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",36229,481,35748
Wikibooks edits (fi),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",11769,1249,10520
Wikiquote edits (ca),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",10263,884,9379
Wikipedia edits (mwl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",10175,1025,9150
Writers,"['Authorship network', 'Bipartite undirected', 'Unweighted no multiple edges']",135569,89356,46213
Wikiversity edits (es),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",16270,3231,13039
Wikiquote edits (uk),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",36071,598,35473
Wikiquote edits (el),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",23281,872,22409
Wikipedia edits (myv),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",9885,707,9178
Google.com internal,"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",15763,,
Wikivoyage edits (fa),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",20349,1269,19080
Wikipedia edits (pdc),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",6592,1138,5454
Wikipedia edits (vep),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",17107,730,16377
