,Name,URL,Category,Attributes,Size,Volume,Loop count,Wedge count,Claw count,Cross count,Triangle count,Square count,4-Tour count,Maximum degree,Average degree,Fill,Size of LCC,Diameter,50-Percentile effective diameter,90-Percentile effective diameter,Median distance,Mean distance,Gini coefficient,Balanced inequality ratio,Relative edge distribution entropy,Power law exponent,Tail power law exponent,Tail power law exponent with p,p-value,Degree assortativity,Degree assortativity p-value,Clustering coefficient,Spectral norm,Algebraic connectivity,Spectral separation,Non-bipartivity,Normalized non-bipartivity,Algebraic non-bipartivity,Spectral bipartite frustration,Controllability,Relative controllability,Left size,Right size,Maximum left degree,Maximum right degree,Average left degree,Average right degree,Left balanced inequality ratio,Right balanced inequality ratio,Left tail power law exponent with p,Left p-value,Right tail power law exponent with p,Right p-value,Maximum outdegree,Maximum indegree,Size of LSCC,Relative size of LSCC,Outdegree balanced inequality ratio,Indegree balanced inequality ratio,In/outdegree correlation,Directed clustering coefficient,Operator 2-norm,Cyclic eigenvalue,Reciprocity,Negativity,Algebraic conflict,Triadic conflict,Spectral signed frustration,Outdegree tail power law exponent with p,Outdegree p-value,Indegree tail power law exponent with p,Indegree p-value,Unique edge count,Average edge multiplicity
mgv,Wiktionary edits (gv),edit-gvwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",1530,8287,,573548,86837377,11734793431,,590562.0,7026880.0,2507,10.8327,0.0156964,1250,17.0,3.92947,7.97363,4.0,5.05536,0.769181,0.202425,0.783765,2.29962,1.821,1.821,0.0,0.00871994,0.584158,,183.634,0.00545247,2.29005,,,,,1169.0,0.765553,187.0,1343.0,2507.0,114.0,44.3155,6.17051,0.0909859,0.253892,1.651,0.063,8.991,0.792,,,,,,,,,,,,,,,,,,,,3942.0,2.10223
mjbo,Wiktionary edits (jbo),edit-jbowiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",1774,8417,,933941,198081944,35337959855,,732083.0,9601242.0,2120,9.48929,0.0140103,1535,14.0,3.0786,5.84031,4.0,3.78849,0.725262,0.225615,0.766009,2.27875,2.811,2.811,0.0,0.068944,6.42641e-06,,135.575,0.0134176,1.80356,,,,,1401.0,0.794668,193.0,1581.0,2120.0,88.0,43.6114,5.32385,0.0854224,0.29381,1.701,0.575,6.901,0.018,,,,,,,,,,,,,,,,,,,,4275.0,1.96889
Li,LiquidFeedback (issues),lqfb-Issue/,Online contact network,"['Unipartite', 'directed', 'Dynamic']",1271,7721,0.0,105502,2553200,62541566,3696.0,52466.0,810920.0,465,12.1495,0.00242973,1181,9.0,3.10138,4.51912,4.0,3.63506,0.661433,0.232844,0.871232,2.03542,2.331,2.331,0.014,-0.0897051,2.54802e-14,0.105098,93.4532,0.130934,1.32733,0.558222,0.0667448,0.111149,0.00453463,724.0,0.582931,,,,,,,,,,,,,316.0,351.0,201.0,0.158143,0.266489,0.237917,0.167299,0.107603,71.865,26.9331,0.0806409,,,,,2.591,0.198,1.721,0.0,3745.0,2.06168
qsr,Wikiquote edits (sr),edit-srwikisource/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",17185,46213,,35714375,72163264513,126013848728356,,769654.0,149082022.0,12346,5.3783,0.0029635,16790,11.0,3.37951,3.95545,4.0,3.65659,0.752294,0.201653,0.722635,4.61995,3.131,,,-0.248852,0.0,,353.711,0.0294948,1.20602,,,,,16194.0,0.94558,489.0,16696.0,12346.0,418.0,94.5051,2.76791,0.0715383,0.304438,,,,,,,,,,,,,,,,,,,,,,,,24195.0,1.91002
yja,Wikiversity edits (ja),edit-jawikiversity/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",2888,8599,,523224,67627959,7572592760,,128525.0,3130762.0,824,5.95499,0.00404553,2521,12.0,3.49719,5.26051,4.0,4.03204,0.740542,0.207001,0.814715,2.93207,2.491,2.491,0.001,-0.151704,5.980470000000001e-26,,208.036,0.0280201,1.39743,,,,,2016.0,0.70195,492.0,2396.0,824.0,481.0,17.4776,3.5889,0.133736,0.28608,1.821,0.249,3.291,0.619,,,,,,,,,,,,,,,,,,,,4769.0,1.8031
mie,Wiktionary edits (ie),edit-iewiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",2379,8719,,1392268,357024875,75452054622,,1038608.0,13889734.0,1931,7.32997,0.0114876,2131,15.0,3.48832,5.90563,4.0,4.11687,0.74044,0.219119,0.758186,2.46733,2.901,2.901,0.0,-0.152984,6.916489999999999e-29,,,0.0123088,1.4577,,,,,1971.0,0.835524,211.0,2168.0,1931.0,83.0,41.3223,4.02168,0.089001,0.305081,1.651,0.078,8.701,0.891,,,,,,,,,,,,,,,,,,,,5255.0,1.65918
mroa-rup,Wiktionary edits (roa-rup),edit-roa_rupwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",2137,8738,,1890621,659147523,192000791134,,1508159.0,19638568.0,1873,8.17782,0.0158273,1815,14.0,1.73657,7.55095,2.0,3.50791,0.718104,0.23209,0.746562,2.2622,3.391,3.391,0.0,-0.148853,3.68437e-28,,112.84,0.00302399,1.22809,,,,,1797.0,0.843266,174.0,1963.0,1873.0,91.0,50.2184,4.45135,0.084802,0.321469,1.631,0.123,4.271,0.003,,,,,,,,,,,,,,,,,,,,5406.0,1.61635
mmi,Wiktionary edits (mi),edit-miwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",2262,8909,,1269199,346363195,80987469784,,875409.0,12090566.0,3190,7.8771,0.0118222,1871,15.0,3.32672,5.89471,4.0,3.99751,0.710245,0.235436,0.768012,2.29054,1.731,1.731,0.126,-0.0900781,1.56035e-10,,152.889,0.00878451,1.91517,,,,,1699.0,0.810205,207.0,2055.0,3190.0,120.0,43.0386,4.33528,0.0922662,0.320126,1.631,0.218,4.211,0.015,,,,,,,,,,,,,,,,,,,,5029.0,1.77153
bsl,Wikibooks edits (sl),edit-slwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",2250,8809,,126934,6820138,300590099,,11675.0,607082.0,1794,7.83022,0.00339323,1822,14.0,4.14641,7.52342,5.0,5.13021,0.818192,0.15575,0.836713,4.6158,2.531,2.531,0.0,-0.273766,3.71625e-45,,1335.11,0.00616319,4.37517,,,,,1573.0,0.702546,409.0,1841.0,1633.0,1794.0,21.5379,4.7849,0.1864,0.201271,1.901,0.14,2.871,0.0,,,,,,,,,,,,,,,,,,,,2555.0,3.44775
La,LiquidFeedback (all),lqfb-All/,Online contact network,"['Unipartite', 'directed', 'Dynamic']",2154,18060,0.0,336357,11866317,573459722,10721.0,143954.0,2164844.0,1051,16.7688,0.00159745,2056,10.0,3.10491,4.40496,4.0,3.62048,0.683913,0.227871,0.863855,2.01963,2.771,2.771,0.059,-0.154289,7.29093e-70,0.0956216,110.241,0.14122,1.42476,0.527836,0.0827079,0.135392,0.0051689,1285.0,0.621073,,,,,,,,,,,,,325.0,900.0,386.0,0.179201,0.275347,0.208193,0.281949,0.106474,81.1331,34.8142,0.103877,,,,,2.981,0.504,1.691,0.0,6835.0,2.64228
qda,Wikiquote edits (da),edit-dawikisource/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",21230,36012,,119199540,591193808023,2249362030841604,,789491.0,483172848.0,17831,3.39256,0.00307549,20536,12.0,1.86245,3.86692,2.0,2.93208,0.681628,0.233575,0.678483,6.17661,2.851,2.851,0.0,-0.284505,0.0,,341.886,0.000977717,1.48727,,,,,20062.0,0.962022,414.0,20816.0,17831.0,337.0,86.9855,1.73002,0.0750028,0.360408,1.591,0.389,4.191,0.004,,,,,,,,,,,,,,,,,,,,26504.0,1.35874
bsk,Wikibooks edits (sk),edit-skwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",2586,9256,,590326,93331565,13111273363,,95226.0,3135370.0,1868,7.15855,0.00480478,2353,10.0,3.46338,5.05705,4.0,3.91084,0.762235,0.198466,0.796118,2.92214,2.771,2.771,0.0,-0.300456,6.43884e-89,,,0.0282332,1.10275,,,,,1957.0,0.769866,403.0,2183.0,1868.0,186.0,22.9677,4.24004,0.118086,0.262208,1.821,0.003,3.151,0.007,,,,,,,,,,,,,,,,,,,,4227.0,2.18973
tw,Wikipedia edits (tw),edit-twwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",2493,9208,,174335,6501725,247189527,,215759.0,2433246.0,583,7.38708,0.00390681,1697,14.0,4.28605,6.33711,5.0,4.86155,0.788145,0.164965,0.845835,2.75348,2.001,2.001,0.0,-0.177433,8.216069999999999e-34,,126.087,0.0359552,,,,,,1121.0,0.495579,632.0,1861.0,583.0,197.0,14.5696,4.94788,0.147698,0.194505,1.751,0.686,2.151,0.0,,,,,,,,,,,,,,,,,,,,4595.0,2.00392
GN,Gnutella (31),p2p-Gnutella31/,Computer network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",62586,147892,0.0,1568174,8171989,43841182,2024.0,42466.0,6908208.0,95,4.72604,3.7757000000000005e-05,62561,11.0,5.47936,6.75131,6.0,5.95653,0.562578,0.263936,0.948442,2.06294,4.831,4.831,0.0,-0.0925578,0.0,0.00387202,,0.113127,,0.120738,0.059887,0.113103,0.00598114,46227.0,0.738616,,,,,,,,,,,,,78.0,68.0,14149.0,0.226073,0.455637,0.330897,0.288763,0.00365397,10.8962,3.65928,0.0,,,,,6.051,0.713,5.561,0.21,,
myi,Wiktionary edits (yi),edit-yiwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",2848,9841,,1315781,608704222,230267698556,,111478.0,6169884.0,4742,6.91081,0.00536363,2515,13.0,3.05943,5.07867,4.0,3.42586,0.772189,0.188091,0.767724,3.70174,2.301,2.301,0.0,-0.294594,2.93018e-85,,,0.0162502,3.28215,,,,,2240.0,0.788732,310.0,2538.0,4742.0,274.0,31.7452,3.87746,0.0903363,0.267554,1.771,0.25,2.801,0.003,,,,,,,,,,,,,,,,,,,,4220.0,2.33199
PS,Prosper groups,prosper-support/,Affiliation network,"['Bipartite', 'undirected', 'Unweighted', 'no multiple edges']",7595,21017,,2663394,410799393,64598135790,,1474982.0,22497618.0,877,5.53443,0.00315212,7329,10.0,3.46032,4.39004,4.0,3.91749,0.737608,0.204311,0.8224,2.40092,2.111,2.111,0.682,-0.194926,4.79253e-179,,51.5691,,1.58295,,,,,5836.0,0.7684,6582.0,1013.0,167.0,877.0,3.1931,20.7473,0.274207,0.158348,1.971,0.0,1.651,0.001,,,,,,,,,,,,,,,,,,,,,
qbg,Wikiquote edits (bg),edit-bgwikiquote/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",11633,66820,,32154552,38576595876,38061540595883,,15018939.0,248877316.0,23939,11.488,0.00320288,11148,10.0,3.08375,3.9059,4.0,3.23468,0.826257,0.162481,0.735484,2.5087,1.901,1.901,0.0,-0.336694,0.0,,,0.0137833,3.326,,,,,9914.0,0.863363,851.0,10782.0,23939.0,359.0,78.5194,6.19737,0.0613738,0.233044,1.741,0.0,6.501,0.366,,,,,,,,,,,,,,,,,,,,29388.0,2.27372
mst,Wiktionary edits (st),edit-stwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",2312,10000,,2157448,821707519,268882487870,,1339736.0,19364170.0,2323,8.65052,0.0147056,2059,18.0,1.83282,5.94924,2.0,3.60659,0.758376,0.1949,0.744898,2.22603,2.621,2.621,0.0,-0.318555,6.24241e-140,,132.198,0.00378498,,,,,,1938.0,0.841146,190.0,2122.0,2323.0,59.0,52.6316,4.71254,0.0758,0.2843,1.701,0.083,2.781,0.0,,,,,,,,,,,,,,,,,,,,5929.0,1.68663
qta,Wikiquote edits (ta),edit-tawikisource/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",413526,492375,,40514450337,,2.399 3 × 1020,,77045767.0,,277985,2.38135,0.00221852,413015,16.0,3.0808,3.98216,4.0,3.25648,0.577936,0.293524,0.61303,20.4942,4.251,,,-0.293472,0.0,,788.204,0.0087436,1.47905,,,,,412462.0,0.997726,491.0,413035.0,277985.0,295.0,1002.8,1.19209,0.0316872,0.452848,,,,,,,,,,,,,,,,,,,,,,,,449917.0,1.09437
qas,Wikiquote edits (as),edit-aswikisource/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",3912,10320,,1548390,471519942,127540143904,,81013.0,6859866.0,2479,5.27607,0.0047908,3764,10.0,3.43392,4.66428,4.0,3.82624,0.749095,0.203198,0.755103,3.96929,3.171,3.171,0.0,-0.238707,3.3369800000000003e-73,,309.201,0.0108011,3.05602,,,,,3525.0,0.902227,325.0,3587.0,2479.0,209.0,31.7538,2.87706,0.0856589,0.299128,1.851,0.001,3.771,0.008,,,,,,,,,,,,,,,,,,,,5585.0,1.84781
Tcy,Wikipedia talk (cy),wiki_talk_cy/,Communication network,"['Unipartite', 'directed', 'Unweighted', 'multiple edges']",2233,10740,2605.0,772894,211757981,44162305687,2312.0,147394.0,4277948.0,2663,9.61935,0.000897461,2062,9.0,2.33422,2.9493,3.0,2.79482,0.821236,0.163175,0.771327,3.08064,2.731,2.731,0.0,-0.456825,0.0,0.00897406,1034.97,0.0692796,1.92185,0.945995,0.0397434,0.0687817,0.00446786,1632.0,0.730855,,,,,,,,,,,,,1519.0,1144.0,249.0,0.111509,0.126816,0.226164,0.611678,0.0298885,527.246,504.058,0.269497,,,,,2.141,0.041,3.031,0.0,4475.0,2.4
Toc,Wikipedia talk (oc),wiki_talk_oc/,Communication network,"['Unipartite', 'directed', 'Unweighted', 'multiple edges']",3144,11059,1188.0,1961710,1089006133,436063783229,1531.0,60501.0,8339044.0,3251,7.03499,0.000489138,3054,6.0,2.20999,2.95251,3.0,2.68779,0.828848,0.148657,0.72024,4.98179,2.621,2.621,0.0,-0.518834,0.0,0.00234132,684.9,0.226624,1.62301,0.597879,0.0553162,0.125065,0.0109053,2697.0,0.857824,,,,,,,,,,,,,2202.0,1049.0,283.0,0.0900127,0.101637,0.219188,0.664161,0.0132046,418.607,277.69,0.228128,,,,,2.141,0.007,2.801,0.0,4835.0,2.28728
bta,Wikibooks edits (ta),edit-tawikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",3873,10561,,699834,104364912,13529504700,,44953.0,3169878.0,1726,5.45365,0.00409072,3485,14.0,3.63701,5.78541,4.0,4.42867,0.749863,0.202774,0.789996,4.38156,2.481,2.481,0.0,-0.124453,1.4861300000000001e-18,,168.576,0.0188914,1.35568,,,,,3140.0,0.826316,343.0,3530.0,1726.0,181.0,30.7901,2.99178,0.104725,0.280939,1.751,0.009,3.751,0.47,,,,,,,,,,,,,,,,,,,,4953.0,2.13224
mam,Wiktionary edits (am),edit-amwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",1878,10969,,531747,61002051,6346371429,,565689.0,6663782.0,1747,11.6816,0.0109725,1548,13.0,3.75986,5.96594,4.0,4.43445,0.783161,0.187756,0.79427,2.40148,1.861,1.861,0.0,0.052126,0.000404413,,,0.0260757,1.51417,,,,,1355.0,0.728886,259.0,1619.0,1747.0,71.0,42.3514,6.77517,0.0849667,0.240861,1.711,0.004,1.891,0.0,,,,,,,,,,,,,,,,,,,,4601.0,2.38405
ve,Wikipedia edits (ve),edit-vewiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",2134,11047,,237318,9668566,394027698,,460826.0,4647404.0,786,10.3533,0.00599366,1550,12.0,3.8173,5.8718,4.0,4.50802,0.795306,0.166652,0.83643,2.50883,2.491,2.491,0.667,-0.0287252,0.0387395,,140.006,,,,,,,1053.0,0.50747,543.0,1591.0,786.0,190.0,20.3444,6.94343,0.13524,0.186566,1.711,0.132,2.011,0.0,,,,,,,,,,,,,,,,,,,,5178.0,2.13345
ki,Wikipedia edits (ki),edit-kiwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",3382,11092,,277488,17168212,1109696627,,390626.0,4245386.0,1696,6.55943,0.00326161,1652,13.0,3.85331,5.93789,4.0,4.57451,0.786243,0.181798,0.836351,2.54236,1.921,1.921,0.0,-0.0764725,3.9506e-08,,156.645,0.0271087,1.3498,,,,,1171.0,0.531066,559.0,2823.0,1696.0,211.0,19.8426,3.92915,0.126037,0.197169,1.721,0.53,2.011,0.0,,,,,,,,,,,,,,,,,,,,5147.0,2.15504
bbn,Wikibooks edits (bn),edit-bnwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",5688,11162,,1158316,216001006,34633692276,,22476.0,4828502.0,1692,3.92475,0.00317464,5328,12.0,3.82203,5.84936,4.0,4.71309,0.710939,0.214657,0.783804,5.8267,2.791,2.791,0.0,-0.161492,1.80701e-40,,113.232,0.0209186,1.2805,,,,,4921.0,0.871128,400.0,5288.0,1692.0,139.0,27.905,2.11082,0.0965777,0.317416,1.771,0.003,4.121,0.003,,,,,,,,,,,,,,,,,,,,6715.0,1.66225
qte,Wikiquote edits (te),edit-tewikisource/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",54263,168296,,458170784,2116343002054,8356449439287824,,126201939.0,2842526044.0,29288,6.20297,0.0030416,53459,14.0,3.4616,5.39026,4.0,3.91883,0.708637,0.237255,0.704148,2.79032,4.651,4.651,0.0,0.0990891,4.30929e-229,,746.591,0.0205781,1.30643,,,,,52590.0,0.977546,649.0,53614.0,29288.0,925.0,259.316,3.13903,0.0724735,0.349866,1.451,0.01,7.431,0.0,,,,,,,,,,,,,,,,,,,,105834.0,1.59019
ti,Wikipedia edits (ti),edit-tiwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",2174,11472,,270723,11406927,478232592,,677213.0,6515154.0,881,10.5538,0.00597592,1494,13.0,4.11098,6.62207,5.0,4.80887,0.803913,0.163616,0.831039,2.5049,2.671,2.671,0.959,-0.0392772,0.00343026,,149.344,0.0269286,1.11014,,,,,1024.0,0.489952,584.0,1590.0,881.0,196.0,19.6438,7.21509,0.128661,0.173989,1.721,0.023,7.191,0.824,,,,,,,,,,,,,,,,,,,,5549.0,2.0674
PG,Pretty Good Privacy,arenas-pgp/,Online contact network,"['Unipartite', 'undirected', 'Unweighted', 'no multiple edges']",10680,24316,0.0,434797,7501208,180494388,54788.0,1010957.0,9875476.0,205,4.55356,0.000426403,10680,24.0,7.00133,10.0699,8.0,7.65286,0.591824,0.269329,0.921894,2.10916,4.261,4.261,0.576,0.238211,0.0,0.378025,42.4355,0.0111604,1.11138,0.716478,0.00990092,0.0183455,0.00100721,2666.0,0.249625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
msi,Wiktionary edits (si),edit-siwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",3016,11439,,1923427,778859448,287658336183,,766073.0,13835126.0,2700,7.58554,0.00969673,2673,16.0,3.0846,5.9599,4.0,3.69398,0.773615,0.190795,0.757608,2.79103,2.011,2.011,0.0,-0.32353,1.4924200000000002e-152,,,0.00785683,1.08223,,,,,2540.0,0.851206,232.0,2784.0,2700.0,113.0,49.306,4.10884,0.0905674,0.263047,1.641,0.031,2.071,0.0,,,,,,,,,,,,,,,,,,,,6263.0,1.82644
bsimple,Wikibooks edits (simple),edit-simplewikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",3253,11524,,588463,69823557,7240340104,,130612.0,3413892.0,1279,7.08515,0.00368136,3103,11.0,3.52198,4.76967,4.0,3.98258,0.738208,0.212166,0.829648,2.57408,2.431,2.431,0.0,-0.211145,1.24104e-62,,236.759,0.087903,1.97648,,,,,2261.0,0.698486,635.0,2618.0,1279.0,469.0,18.148,4.40183,0.13589,0.287227,1.801,0.492,3.121,0.311,,,,,,,,,,,,,,,,,,,,6120.0,1.88301
bml,Wikibooks edits (ml),edit-mlwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",3955,11388,,954351,245611330,60829298332,,64532.0,4351694.0,1454,5.75879,0.00253213,3744,12.0,3.51982,5.23399,4.0,4.03097,0.75676,0.196567,0.807893,3.30266,2.051,2.051,0.409,-0.276632,7.46997e-111,,117.223,0.0316423,1.07665,,,,,3154.0,0.801932,783.0,3172.0,1454.0,239.0,14.5441,3.59016,0.141201,0.258781,1.891,0.666,2.761,0.0,,,,,,,,,,,,,,,,,,,,6289.0,1.81078
ak,Wikipedia edits (ak),edit-akwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",2872,11356,,206493,7624707,292642050,,295931.0,3206644.0,634,7.90808,0.00331945,1981,17.0,4.67859,7.20117,5.0,5.29527,0.779795,0.172948,0.851905,2.76543,2.751,2.751,0.794,-0.055698,2.7842600000000003e-05,,135.567,0.0103217,1.26725,,,,,1258.0,0.449768,837.0,2035.0,634.0,232.0,13.5675,5.58034,0.14521,0.196372,1.801,0.011,2.131,0.0,,,,,,,,,,,,,,,,,,,,5654.0,2.00849
qgu,Wikiquote edits (gu),edit-guwikisource/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",16580,69559,,101784838,353785871769,1040489937951775,,19317302.0,561808460.0,33538,8.39071,0.00520507,16412,10.0,1.82139,3.79066,2.0,2.81219,0.720906,0.229841,0.68496,2.70254,3.521,3.521,0.0,-0.196912,4.7449700000000004e-281,,818.048,0.0361533,3.09904,,,,,16023.0,0.967865,385.0,16195.0,33538.0,832.0,180.673,4.29509,0.0476286,0.34654,1.541,0.273,3.991,0.621,,,,,,,,,,,,,,,,,,,,32454.0,2.14331
ny,Wikipedia edits (ny),edit-nywiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",2338,11930,,246794,11076944,479617248,,416557.0,4331102.0,1054,10.2053,0.00515715,1678,14.0,4.02247,6.35356,5.0,4.7616,0.811388,0.157083,0.833413,2.64028,1.961,1.961,0.0,-0.0988861,1.48999e-12,,166.763,0.0147836,1.22514,,,,,1197.0,0.541874,554.0,1784.0,1054.0,288.0,21.5343,6.68722,0.124308,0.181894,1.731,0.023,2.071,0.0,,,,,,,,,,,,,,,,,,,,5097.0,2.34059
yko,Wikiversity edits (ko),edit-kowikiversity/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",2481,11953,,499590,65278897,7576811711,,307644.0,4475452.0,2747,9.63563,0.00629842,2253,12.0,3.63292,5.68566,4.0,4.32283,0.804272,0.174559,0.803382,2.92371,2.061,2.061,0.0,-0.128664,3.5726900000000005e-18,,239.047,0.0136894,1.65798,,,,,1929.0,0.786384,335.0,2146.0,2747.0,352.0,35.6806,5.5699,0.125993,0.239689,1.691,0.795,2.161,0.0,,,,,,,,,,,,,,,,,,,,4528.0,2.6398
qid,Wikiquote edits (id),edit-idwikisource/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",10063,25631,,7284904,5300738320,3447158269504,,435713.0,32672212.0,6465,5.09411,0.00275275,8539,13.0,3.48498,5.30151,4.0,3.97123,0.744561,0.20918,0.753518,3.89099,3.071,,,-0.119181,3.716130000000001e-43,,610.001,0.029002,3.21554,,,,,8043.0,0.896056,504.0,9559.0,6465.0,611.0,50.8552,2.68135,0.0801763,0.307947,,,,,,,,,,,,,,,,,,,,,,,,13262.0,1.93266
bka,Wikibooks edits (ka),edit-kawikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",5267,12212,,4214384,3014264684,1773540974581,,166179.0,18200034.0,4272,4.63717,0.00500262,4994,13.0,3.34957,4.38125,4.0,3.65898,0.754878,0.187439,0.718189,6.10756,2.841,2.841,0.0,-0.209748,3.4010399999999997e-65,,284.651,0.0247846,1.71222,,,,,4777.0,0.908002,258.0,5009.0,4272.0,168.0,47.3333,2.43801,0.0786112,0.288814,1.661,0.789,3.031,0.0,,,,,,,,,,,,,,,,,,,,6465.0,1.88894
fj,Wikipedia edits (fj),edit-fjwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",2534,12382,,326558,19132073,1192757178,,471089.0,5089466.0,814,9.77269,0.00506604,1929,13.0,3.74687,5.82828,4.0,4.44814,0.798153,0.166815,0.831959,2.60194,1.941,,,-0.148505,9.82922e-31,,151.435,0.023183,1.28732,,,,,1380.0,0.549801,612.0,1922.0,814.0,237.0,20.232,6.44225,0.131966,0.194799,,,,,,,,,,,,,,,,,,,,,,,,5959.0,2.07787
qgl,Wikiquote edits (gl),edit-glwikiquote/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",3200,14807,,1149025,191162195,28625472005,,528863.0,8847932.0,1716,9.25437,0.00753534,2826,13.0,3.37541,4.54432,4.0,3.73741,0.768769,0.196934,0.800801,2.3339,2.171,2.171,0.0,-0.297093,1.1640600000000002e-155,,203.54,0.0304242,1.98843,,,,,2405.0,0.786719,357.0,2843.0,1716.0,165.0,41.4762,5.20823,0.10441,0.273249,1.601,0.617,8.191,0.548,,,,,,,,,,,,,,,,,,,,7648.0,1.93606
sg,Wikipedia edits (sg),edit-sgwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",2105,12456,,329512,17013776,907290070,,800852.0,7737834.0,1117,11.8347,0.00692823,1527,14.0,3.63516,5.90469,4.0,4.36071,0.811384,0.160083,0.822948,2.51653,2.661,2.661,0.227,-0.0490591,0.000184546,,169.061,0.0238301,1.50604,,,,,1083.0,0.521425,533.0,1572.0,1117.0,218.0,23.3696,7.92366,0.119782,0.167469,1.701,0.07,6.581,0.335,,,,,,,,,,,,,,,,,,,,5805.0,2.14574
mso,Wiktionary edits (so),edit-sowiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",3378,12339,,2447554,1041773386,372916918109,,1325104.0,20403638.0,4841,7.30551,0.010039,2434,12.0,2.62658,5.83441,3.0,3.71854,0.732033,0.221047,0.746825,2.38738,3.121,3.121,0.0,-0.113601,4.28364e-19,,212.914,0.00981732,1.13159,,,,,2365.0,0.865349,192.0,3186.0,4841.0,132.0,64.2656,3.87288,0.0792609,0.304887,1.631,0.522,4.211,0.029,,,,,,,,,,,,,,,,,,,,6141.0,2.00928
rn,Wikipedia edits (rn),edit-rnwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",2313,12547,,382550,22725432,1261220898,,720331.0,7305234.0,1076,10.8491,0.00623966,1779,14.0,3.6543,5.86897,4.0,4.37769,0.800638,0.164063,0.821482,2.5455,1.921,1.921,0.0,-0.134027,1.92654e-25,,,0.0159204,1.26539,,,,,1284.0,0.558747,543.0,1770.0,1076.0,272.0,23.1068,7.0887,0.125369,0.184745,1.701,0.146,4.031,0.144,,,,,,,,,,,,,,,,,,,,5997.0,2.09221
ch,Wikipedia edits (ch),edit-chwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",2943,12452,,317943,22075192,1920950028,,476291.0,5095232.0,828,8.46211,0.00376648,1997,14.0,5.02961,7.43816,6.0,5.39756,0.8203,0.146201,0.827823,2.92449,2.851,2.851,0.276,-0.268541,5.62818e-99,,163.863,0.00436672,1.2157,,,,,1393.0,0.518036,708.0,2235.0,828.0,254.0,17.5876,5.57136,0.129056,0.16921,1.771,0.001,2.241,0.0,,,,,,,,,,,,,,,,,,,,5960.0,2.08926
